"id","raw_body","expected_status"
"PC-11","{""code"": ""HW06_ZERODISC_1"", ""type"": ""percent"", ""discount_value"": 0, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-12","{""code"": ""HW06_NEGDISC_1"", ""type"": ""percent"", ""discount_value"": -10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-13","{""code"": ""HW06_NODISC_1"", ""type"": ""percent"", ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-14","{""code"": ""HW06_STRDISC_1"", ""type"": ""percent"", ""discount_value"": ""10"", ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-15","{""code"": ""HW06_OVER100_1"", ""type"": ""percent"", ""discount_value"": 500, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-16","{""code"": ""HW06_ZEROMOA_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-17","{""code"": ""HW06_NEGMOA_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": -500000, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-18","{""code"": ""HW06_NOMOA_1"", ""type"": ""percent"", ""discount_value"": 10, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-19","{""code"": ""HW06_PASTEXP_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2020-01-01"", ""max_uses_per_user"": 1}","200"
"PC-20","{""code"": ""HW06_BADDATE_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""not-a-date"", ""max_uses_per_user"": 1}","200"
"PC-21","{""code"": ""HW06_NOEXP_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""max_uses_per_user"": 1}","200"
"PC-22","{""code"": ""HW06_ZEROMAX_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 0}","200"
"PC-23","{""code"": ""HW06_NEGMAX_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": -5}","200"
"PC-24","{""code"": ""HW06_NOMAX_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01""}","200"
"PC-25","{""code"": ""HW06_STRMAX_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": ""3""}","200"
"PC-26","{}","200"
"PC-27","{""code"": ""HW06_ISACTIVE_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1, ""is_active"": 0}","200"
"PC-28","{""code"": ""M\u00e3 Gi\u1ea3m Gi\u00e1 T\u1ebft"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-33","{""code"": ""HW06SQLI_x'; DROP TABLE coupons; --"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
"PC-34","{""code"": ""HW06_SQLI2_1"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""'; DROP TABLE coupons; --"", ""max_uses_per_user"": 1}","200"
"PC-35","{""code"": ""<script>alert(1)</script>"", ""type"": ""percent"", ""discount_value"": 10, ""min_order_amount"": 0, ""expired_at"": ""2027-01-01"", ""max_uses_per_user"": 1}","200"
